基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
018016,工银瑞宏6个月定开债券C,债券型-长债,0.00,工银瑞信基金,1.0208,赵建,2023-06-20,None,None,None,None
004910,中加颐享纯债债券A,债券型-长债,26.03,中加基金,1.0207,于跃,2020-03-03,0.70%,2.17,9.34%,18.59%
009327,东兴兴晟混合A,混合型-偏股,0.50,东兴基金,1.0207,李晨辉,2020-08-05,16.26%,-0.23,-6.34%,None
012684,东方红安盈甄选一年持有混合C,混合型-偏债,0.87,东方红资产管理,1.0207,余剑峰,2023-02-15,None,None,None,None
013042,鹏扬景浦一年持有混合C,混合型-偏债,0.35,鹏扬基金,1.0207,李人望,2023-08-28,None,None,None,None
017738,融通慧心混合C,混合型-偏股,0.75,融通基金,1.0207,范琨,2023-02-28,None,None,None,None
018169,嘉实致诚纯债债券,债券型-长债,43.05,嘉实基金,1.0207,闵锐,2023-03-30,None,None,None,None
018598,兴证全球招益债券C,债券型-混合二级,2.08,兴证全球基金,1.0207,张睿,2023-07-05,None,None,None,None
019579,易方达安汇120天持有债券A,债券型-长债,2.04,易方达基金,1.0207,梁莹,2023-10-31,None,None,None,None
020328,华泰保兴尊益利率债6个月持有债券C,债券型-长债,0.39,华泰保兴基金,1.0207,周咏梅,2024-02-06,None,None,None,None
019489,景顺长城景泰通利纯债A,债券型-长债,38.68,景顺长城基金,1.0207,陈健宾,2023-12-13,None,None,None,None
019922,华泰柏瑞锦悦债券,债券型-长债,8.14,华泰柏瑞基金,1.0207,罗远航,2024-01-19,None,None,None,None
020382,人保民享利率债债券C,债券型-长债,0.05,人保资产,1.0207,程同朦,2023-12-27,None,None,None,None
870008,广发乾利一年持有期债券A,债券型-混合二级,1.44,广发资产管理,1.0206,柳雯青,2023-01-19,3.38%,-1.14,-6.87%,None
008504,国泰信用互利债券C,债券型-长债,0.02,国泰基金,1.0206,王玉,2020-03-19,2.09%,0.33,6.70%,None
015803,鹏华稳健恒利债券C,债券型-混合二级,0.51,鹏华基金,1.0206,范晶伟,2023-01-18,None,None,None,None
016716,建信渤泰债券C,债券型-混合二级,0.18,建信基金,1.0206,尹润泉,2023-02-07,None,None,None,None
017819,万家CFETS0-3年期政金债指数C,指数型-固收,0.00,万家基金,1.0206,段博卿,2023-03-22,None,None,None,None
016683,天弘广盈六个月持有混合C,混合型-偏债,0.69,天弘基金,1.0206,杜广,2023-06-29,None,None,None,None
013524,富国悦享回报12个月持有期混合A,混合型-偏债,1.80,富国基金,1.0206,黄纪亮,2021-11-12,None,None,None,None
018677,渤海汇金汇享益利率债C,债券型-长债,0.00,渤海汇金,1.0206,高延龙,2024-01-24,None,None,None,None
